name,baseprice,wood,steel,plastic
B_Heli_Light_01_F,60000,0,65,5
B_Heli_Light_01_armed_F,462000,0,65,5
B_Heli_Light_01_dynamicLoadout_F,462000,0,65,5
C_Heli_light_01_blue_F,5000,0,65,5
C_Heli_light_01_red_F,5000,0,65,5
C_Heli_light_01_ion_F,5000,0,65,5
C_Heli_light_01_blueLine_F,5000,0,65,5
C_Heli_light_01_digital_F,5000,0,65,5
C_Heli_light_01_elliptical_F,5000,0,65,5
C_Heli_light_01_furious_F,5000,0,65,5
C_Heli_light_01_graywatcher_F,5000,0,65,5
C_Heli_light_01_jeans_F,5000,0,65,5
C_Heli_light_01_light_F,5000,0,65,5
C_Heli_light_01_shadow_F,5000,0,65,5
C_Heli_light_01_sheriff_F,5000,0,65,5
C_Heli_light_01_speedy_F,5000,0,65,5
C_Heli_light_01_sunset_F,5000,0,65,5
C_Heli_light_01_vrana_F,5000,0,65,5
C_Heli_light_01_wasp_F,5000,0,65,5
C_Heli_light_01_wave_F,5000,0,65,5
C_Heli_light_01_stripped_F,5000,0,65,5
C_Heli_light_01_luxe_F,5000,0,65,5
B_Heli_Light_01_stripped_F,42000,0,65,5
O_Heli_Light_02_dynamicLoadout_F,126000,0,70,5
O_Heli_Light_02_F,126000,0,70,5
O_Heli_Light_02_unarmed_F,73500,0,70,5
O_Heli_Light_02_v2_F,126000,0,70,5
NonSteerable_Parachute_F,7000,0,5,2
Steerable_Parachute_F,7000,0,5,2
B_Heli_Attack_01_F,480250,0,70,5
B_Heli_Attack_01_dynamicLoadout_F,480250,0,70,5
O_Heli_Attack_02_F,528000,0,80,5
O_Heli_Attack_02_black_F,528000,0,80,5
O_Heli_Attack_02_dynamicLoadout_F,528000,0,80,5
O_Heli_Attack_02_dynamicLoadout_black_F,528000,0,80,5
B_Heli_Transport_01_F,45500,0,70,15
B_Heli_Transport_01_camo_F,45500,0,70,15
I_Heli_Transport_02_F,25590,0,70,5
B_Parachute_02_F,7000,0,5,2
O_Parachute_02_F,7000,0,5,2
I_Parachute_02_F,7000,0,5,2
I_Plane_Fighter_03_CAS_F,80500,0,28,2
I_Plane_Fighter_03_AA_F,68250,0,28,2
I_Plane_Fighter_03_dynamicLoadout_F,78500,0,28,2
I_Heli_light_03_F,120000,0,70,5
I_Heli_light_03_dynamicLoadout_F,120000,0,70,5
I_Heli_light_03_unarmed_F,72210,0,70,5
B_Plane_CAS_01_F,95000,0,40,2
B_Plane_CAS_01_dynamicLoadout_F,95000,0,40,2
O_Plane_CAS_02_F,95000,0,40,2
O_Plane_CAS_02_dynamicLoadout_F,95000,0,40,2
B_UAV_01_F,200,0,5,5
O_UAV_01_F,200,0,5,1
I_UAV_01_F,200,0,5,1
B_UAV_02_F,48000,0,60,5
O_UAV_02_F,48000,0,60,5
I_UAV_02_F,48000,0,60,5
B_UAV_02_CAS_F,58000,0,60,5
O_UAV_02_CAS_F,58000,0,60,5
I_UAV_02_CAS_F,58000,0,60,5
B_UAV_02_dynamicLoadout_F,58000,0,60,5
O_UAV_02_dynamicLoadout_F,58000,0,60,5
I_UAV_02_dynamicLoadout_F,58000,0,60,5
B_Heli_Transport_03_F,90000,0,70,15
B_Heli_Transport_03_black_F,90000,0,70,15
B_Heli_Transport_03_unarmed_green_F,85000,0,70,15
O_Heli_Transport_04_F,70700,0,70,10
O_Heli_Transport_04_ammo_F,70700,0,70,10
O_Heli_Transport_04_bench_F,70700,0,70,10
O_Heli_Transport_04_box_F,70700,0,70,10
O_Heli_Transport_04_covered_F,70700,0,70,10
O_Heli_Transport_04_fuel_F,70700,0,70,10
O_Heli_Transport_04_medevac_F,70700,0,70,10
O_Heli_Transport_04_repair_F,70700,0,70,10
O_Heli_Transport_04_black_F,70700,0,70,10
O_Heli_Transport_04_ammo_black_F,70700,0,70,10
O_Heli_Transport_04_bench_black_F,1.176e+006,0,70,10
O_Heli_Transport_04_box_black_F,1.176e+006,0,70,10
O_Heli_Transport_04_covered_black_F,1.176e+006,0,70,10
