name,baseprice,wood,steel,plastic
U_B_CombatUniform_mcam,500,0,2,0
U_B_CombatUniform_mcam_tshirt,500,0,2,0
U_B_CombatUniform_mcam_vest,500,0,2,0
U_B_GhillieSuit,500,0,2,0
U_B_HeliPilotCoveralls,500,0,2,0
U_B_Wetsuit,500,0,2,0
U_O_CombatUniform_ocamo,500,0,2,0
U_O_GhillieSuit,500,0,2,0
U_O_PilotCoveralls,500,0,2,0
U_O_Wetsuit,500,0,2,0
U_C_Poloshirt_blue,100,2,0,0
U_C_Poloshirt_burgundy,100,2,0,0
U_C_Poloshirt_stripped,100,2,0,0
U_C_Poloshirt_tricolour,100,2,0,0
U_C_Poloshirt_salmon,100,2,0,0
U_C_Poloshirt_redwhite,85,2,0,0
U_C_Journalist,85,2,0,0
U_C_man_sport_1_F,75,2,0,0
U_C_man_sport_2_F,75,2,0,0
U_C_man_sport_3_F,75,2,0,0
U_C_Man_casual_1_F,50,2,0,0
U_C_Man_casual_2_F,50,2,0,0
U_C_Man_casual_3_F,50,2,0,0
U_C_Man_casual_4_F,50,2,0,0
U_C_Man_casual_5_F,50,2,0,0
U_C_Man_casual_6_F,50,2,0,0
U_C_ConstructionCoverall_Red_F,50,2,0,0
U_C_ConstructionCoverall_Vrana_F,50,2,0,0
U_C_ConstructionCoverall_Black_F,55,2,0,0
U_C_ConstructionCoverall_Blue_F,56,2,0,0
U_Rangemaster,500,0,2,0
U_OrestesBody,500,0,2,0
U_B_CombatUniform_mcam_worn,500,0,2,0
U_B_PilotCoveralls,500,0,2,0
U_O_CombatUniform_oucamo,500,0,2,0
U_O_SpecopsUniform_ocamo,500,0,2,0
U_O_OfficerUniform_ocamo,500,0,2,0
U_I_CombatUniform,500,0,2,0
U_I_CombatUniform_shortsleeve,500,0,2,0
U_I_pilotCoveralls,500,0,2,0
U_I_HeliPilotCoveralls,500,0,2,0
U_I_GhillieSuit,500,0,2,0
U_I_OfficerUniform,500,0,2,0
U_I_Wetsuit,500,0,2,0
U_Competitor,500,0,2,0
U_BG_Guerilla1_1,500,0,2,0
U_BG_Guerilla2_1,500,0,2,0
U_BG_Guerilla2_2,500,0,2,0
U_BG_Guerilla2_3,500,0,2,0
U_BG_Guerilla3_1,500,0,2,0
U_BG_leader,500,0,2,0
U_C_Poor_1,2,0,2,0
U_C_WorkerCoveralls,50,0,2,0
U_C_HunterBody_grn,50,0,2,0
U_B_CTRG_1,500,0,2,0
U_B_CTRG_2,500,0,2,0
U_B_CTRG_3,500,0,2,0
U_B_survival_uniform,500,0,2,0
U_I_G_Story_Protagonist_F,500,0,2,0
U_I_G_resistanceLeader_F,500,0,2,0
U_C_Scientist,500,0,2,0
U_B_Protagonist_VR,500,0,2,0
U_O_Protagonist_VR,500,0,2,0
U_I_Protagonist_VR,500,0,2,0
U_C_Protagonist_VR,500,0,2,0
U_BG_Guerrilla_6_1,500,0,2,0
U_C_Driver_1,500,0,2,0
U_C_Driver_2,500,0,2,0
U_C_Driver_3,500,0,2,0
U_C_Driver_4,500,0,2,0
U_Marshal,500,0,2,0
U_C_Driver_1_black,500,0,2,0
U_C_Driver_1_blue,500,0,2,0
U_C_Driver_1_green,500,0,2,0
U_C_Driver_1_red,500,0,2,0
U_C_Driver_1_white,500,0,2,0
U_C_Driver_1_yellow,500,0,2,0
U_C_Driver_1_orange,500,0,2,0
U_B_FullGhillie_lsh,500,0,2,0
U_B_FullGhillie_sard,500,0,2,0
U_B_FullGhillie_ard,500,0,2,0
U_O_FullGhillie_lsh,500,0,2,0
U_O_FullGhillie_sard,500,0,2,0
U_O_FullGhillie_ard,500,0,2,0
U_I_FullGhillie_lsh,500,0,2,0
U_I_FullGhillie_sard,500,0,2,0
U_I_FullGhillie_ard,500,0,2,0
U_B_T_Soldier_F,500,0,2,0
U_B_T_Soldier_AR_F,500,0,2,0
U_B_T_Soldier_SL_F,500,0,2,0
U_B_T_Sniper_F,500,0,2,0
U_B_T_FullGhillie_tna_F,500,0,2,0
U_B_CTRG_Soldier_F,500,0,2,0
U_B_CTRG_Soldier_2_F,500,0,2,0
U_B_CTRG_Soldier_3_F,500,0,2,0
U_B_GEN_Soldier_F,500,0,2,0
U_B_GEN_Commander_F,500,0,2,0
U_O_T_Soldier_F,500,0,2,0
U_O_T_Officer_F,500,0,2,0
U_O_T_Sniper_F,500,0,2,0
U_O_T_FullGhillie_tna_F,500,0,2,0
U_O_V_Soldier_Viper_F,500,0,2,0
U_O_V_Soldier_Viper_hex_F,500,0,2,0
U_I_C_Soldier_Para_1_F,500,0,2,0
U_I_C_Soldier_Para_2_F,500,0,2,0
U_I_C_Soldier_Para_3_F,500,0,2,0
U_I_C_Soldier_Para_4_F,500,0,2,0
U_I_C_Soldier_Para_5_F,500,0,2,0
U_I_C_Soldier_Bandit_1_F,500,0,2,0
U_I_C_Soldier_Bandit_2_F,500,0,2,0
U_I_C_Soldier_Bandit_3_F,500,0,2,0
U_I_C_Soldier_Bandit_4_F,500,0,2,0
U_I_C_Soldier_Bandit_5_F,500,0,2,0
U_I_C_Soldier_Camo_F,500,0,2,0
U_B_CTRG_Soldier_urb_1_F,500,0,2,0
U_B_CTRG_Soldier_urb_2_F,500,0,2,0
U_B_CTRG_Soldier_urb_3_F,500,0,2,0
U_C_IDAP_Man_shorts_F,500,0,2,0
U_C_IDAP_Man_casual_F,500,0,2,0
U_C_IDAP_Man_cargo_F,500,0,2,0
U_C_IDAP_Man_Tee_F,500,0,2,0
U_C_IDAP_Man_Jeans_F,500,0,2,0
U_C_IDAP_Man_TeeShorts_F,500,0,2,0
U_C_Paramedic_01_F,500,0,2,0
U_C_Mechanic_01_F,500,0,2,0
U_BG_Guerilla1_2_F,500,0,2,0
U_O_officer_noInsignia_hex_F,500,0,2,0
U_Tank_green_F,500,0,2,0
