name,baseprice,wood,steel,plastic
1Rnd_HE_Grenade_shell,8,0,0,2
3Rnd_HE_Grenade_shell,24,0,0,6
HandGrenade,20,0,0,5
MiniGrenade,12,0,0,3
ATMine_Range_Mag,320,0,0,40
APERSMine_Range_Mag,40,0,0,5
APERSBoundingMine_Range_Mag,80,0,0,10
SLAMDirectionalMine_Wire_Mag,80,0,0,10
APERSTripMine_Wire_Mag,80,0,0,10
ClaymoreDirectionalMine_Remote_Mag,80,0,0,10
SatchelCharge_Remote_Mag,320,0,0,40
DemoCharge_Remote_Mag,80,0,0,10
IEDUrbanBig_Remote_Mag,320,0,0,40
IEDLandBig_Remote_Mag,320,0,0,40
IEDUrbanSmall_Remote_Mag,160,0,0,20
IEDLandSmall_Remote_Mag,160,0,0,20
RPG7_F,80,0,0,20
APERSMineDispenser_Mag,240,0,0,30
TrainingMine_Mag,60,0,0,8
