name,baseprice,wood,steel,plastic
G_Spectacles,6,0,0,1
G_Spectacles_Tinted,6,0,0,1
G_Shades_Black,6,0,0,1
G_Shades_Green,6,0,0,1
G_Shades_Red,6,0,0,1
G_Squares,6,0,0,1
G_Squares_Tinted,6,0,0,1
G_Sport_BlackWhite,6,0,0,1
G_Sport_Blackyellow,6,0,0,1
G_Sport_Greenblack,6,0,0,1
G_Sport_Checkered,6,0,0,1
G_Sport_Red,6,0,0,1
G_Aviator,6,0,0,1
G_Lady_Blue,6,0,0,1
G_Shades_Blue,3,0,0,1
G_Sport_Blackred,3,0,0,1
G_Respirator_white_F,6,0,0,1
G_Respirator_yellow_F,6,0,0,1
G_Respirator_blue_F,6,0,0,1
G_WirelessEarpiece_F,6,0,0,1
