name,baseprice,wood,steel,plastic
H_Booniehat_khk,500,0,2,0
H_Booniehat_oli,500,0,2,0
H_Booniehat_mcamo,500,0,2,0
H_Booniehat_tan,500,0,2,0
H_Booniehat_dgtl,500,0,2,0
H_Booniehat_khk_hs,500,0,2,0
H_Cap_red,500,0,2,0
H_Cap_blu,500,0,2,0
H_Cap_oli,500,0,2,0
H_Cap_headphones,500,0,2,0
H_Cap_tan,500,0,2,0
H_Cap_blk,500,0,2,0
H_Cap_blk_CMMG,500,0,2,0
H_Cap_brn_SPECOPS,500,0,2,0
H_Cap_tan_specops_US,500,0,2,0
H_Cap_khaki_specops_UK,500,0,2,0
H_Cap_grn,500,0,2,0
H_Cap_grn_BI,500,0,2,0
H_Cap_blk_Raven,500,0,2,0
H_Cap_blk_ION,500,0,2,0
H_Cap_oli_hs,500,0,2,0
H_Cap_press,500,0,2,0
H_Cap_usblack,500,0,2,0
H_Cap_surfer,500,0,2,0
H_Cap_police,500,0,2,0
H_MilCap_ocamo,500,0,2,0
H_MilCap_mcamo,500,0,2,0
H_MilCap_gry,500,0,2,0
H_MilCap_dgtl,500,0,2,0
H_MilCap_blue,500,0,2,0
H_Bandanna_surfer,500,0,2,0
H_Bandanna_khk,500,0,2,0
H_Bandanna_khk_hs,500,0,2,0
H_Bandanna_cbr,500,0,2,0
H_Bandanna_sgg,500,0,2,0
H_Bandanna_sand,500,0,2,0
H_Bandanna_surfer_blk,500,0,2,0
H_Bandanna_surfer_grn,500,0,2,0
H_Bandanna_gry,500,0,2,0
H_Bandanna_blu,500,0,2,0
H_Bandanna_camo,500,0,2,0
H_Bandanna_mcamo,500,0,2,0
H_Shemag_olive,500,0,2,0
H_Shemag_olive_hs,500,0,2,0
H_ShemagOpen_khk,500,0,2,0
H_ShemagOpen_tan,500,0,2,0
H_Beret_blk,500,0,2,0
H_Beret_02,500,0,2,0
H_Beret_Colonel,500,0,2,0
H_Watchcap_blk,500,0,2,0
H_Watchcap_cbr,500,0,2,0
H_Watchcap_khk,500,0,2,0
H_Watchcap_camo,500,0,2,0
H_StrawHat,500,0,2,0
H_StrawHat_dark,500,0,2,0
H_Hat_blue,500,0,2,0
H_Hat_brown,500,0,2,0
H_Hat_camo,500,0,2,0
H_Hat_grey,500,0,2,0
H_Hat_checker,500,0,2,0
H_Hat_tan,500,0,2,0
H_Cap_marshal,500,0,2,0
H_MilCap_tna_F,500,0,2,0
H_MilCap_ghex_F,500,0,2,0
H_Booniehat_tna_F,500,0,2,0
H_Beret_gen_F,500,0,2,0
H_MilCap_gen_F,500,0,2,0
H_Hat_Safari_sand_F,500,0,2,0
H_Hat_Safari_olive_F,500,0,2,0
H_EarProtectors_yellow_F,500,0,2,0
H_EarProtectors_white_F,500,0,2,0
H_EarProtectors_orange_F,500,0,2,0
H_EarProtectors_red_F,500,0,2,0
H_EarProtectors_black_F,500,0,2,0
H_HeadSet_yellow_F,500,0,2,0
H_HeadSet_white_F,500,0,2,0
H_HeadSet_orange_F,500,0,2,0
H_HeadSet_red_F,500,0,2,0
H_HeadSet_black_F,500,0,2,0
H_HeadBandage_stained_F,500,0,2,0
H_HeadBandage_clean_F,500,0,2,0
H_HeadBandage_bloody_F,500,0,2,0
H_Cap_White_IDAP_F,500,0,2,0
H_Cap_Orange_IDAP_F,500,0,2,0
H_Cap_Black_IDAP_F,500,0,2,0
H_WirelessEarpiece_F,500,0,2,0
H_WirelessEarpiece_F,500,0,2,0
