name,baseprice,wood,steel,plastic
ItemWatch,10,0,0,1
ItemCompass,3,0,1,0
ItemGPS,48,0,0,2
ItemRadio,25,0,0,2
ItemMap,1,0,1,0
ToolKit,80,0,0,0
ACE_Banana,2,0,0.1,0
ItemWatch,10,0,0,1
ACE_Altimeter,100,0,0,4
ACE_UAVBattery,40,0,0,4
ACE_wirecutter,25,0,5,0
ACE_MapTools,1,0,0.1,0
ACE_fieldDressing,1,0,0,0.1
ACE_packingBandage,4,0,0,0.1
ACE_elasticBandage,4,0,0,0.1
ACE_morphine,10,0,0,0
ACE_adenosine,10,0,0,0
ACE_atropine,10,0,0,0
ACE_epinephrine,20,0,0,0
ACE_plasmaIV,40,0,0,2
ACE_bloodIV,52,0,0,2
ACE_salineIV,12,0,0,2
ACE_quikclot,4,0,0,0.1
ACE_bodyBag,2,0,0,0.1
ACE_microDAGR,100,0,0,1
ACE_SpraypaintBlack,10,0,2,0
ACE_EntrenchingTool,10,0,2,0
ACE_CableTie,1,0,0.1,0
ACE_EarPlugs,4,0,0,0.1
ACE_DAGR,120,0,0,2
ACE_Cellphone,50,0,0,1
V_RebreatherIA,75,0,0,1
