name,baseprice,wood,steel,plastic
30Rnd_556x45_Stanag,10,0,0.1,0
30Rnd_556x45_Stanag_green,10,0,0.1,0
30Rnd_556x45_Stanag_red,10,0,0.1,0
30Rnd_556x45_Stanag_Tracer_Red,10,0,0.1,0
30Rnd_556x45_Stanag_Tracer_Green,10,0,0.1,0
30Rnd_556x45_Stanag_Tracer_Yellow,10,0,0.1,0
20Rnd_556x45_UW_mag,8,0,0.1,0
30Rnd_65x39_caseless_mag,18,0,0.1,0
30Rnd_65x39_caseless_green,18,0,0.1,0
30Rnd_65x39_caseless_mag_Tracer,18,0,0.1,0
30Rnd_65x39_caseless_green_mag_Tracer,18,0,0.1,0
20Rnd_762x51_Mag,48,0,0.1,0
7Rnd_408_Mag,21,0,0.1,0
5Rnd_127x108_Mag,64,0,0.1,0
100Rnd_65x39_caseless_mag,45,0,0.1,0
100Rnd_65x39_caseless_mag_Tracer,45,0,0.1,0
200Rnd_65x39_cased_Box,55,0,0.1,0
200Rnd_65x39_cased_Box_Tracer,55,0,0.1,0
30Rnd_9x21_Mag,18,0,0.1,0
30Rnd_9x21_Red_Mag,18,0,0.1,0
30Rnd_9x21_Yellow_Mag,18,0,0.1,0
30Rnd_9x21_Green_Mag,18,0,0.1,0
16Rnd_9x21_Mag,8,0,0.1,0
30Rnd_9x21_Mag_SMG_02,18,0,0.1,0
30Rnd_9x21_Mag_SMG_02_Tracer_Red,18,0,0.1,0
30Rnd_9x21_Mag_SMG_02_Tracer_Yellow,18,0,0.1,0
30Rnd_9x21_Mag_SMG_02_Tracer_Green,18,0,0.1,0
16Rnd_9x21_red_Mag,8,0,0.1,0
16Rnd_9x21_green_Mag,8,0,0.1,0
16Rnd_9x21_yellow_Mag,8,0,0.1,0
RPG32_F,240,0,0.1,0
RPG32_HE_F,160,0,0.1,0
1Rnd_Smoke_Grenade_shell,2,0,0.1,0
3Rnd_Smoke_Grenade_shell,6,0,0.1,0
1Rnd_SmokeRed_Grenade_shell,2,0,0.1,0
3Rnd_SmokeRed_Grenade_shell,6,0,0.1,0
1Rnd_SmokeGreen_Grenade_shell,2,0,0.1,0
3Rnd_SmokeGreen_Grenade_shell,6,0,0.1,0
1Rnd_SmokeYellow_Grenade_shell,2,0,0.1,0
3Rnd_SmokeYellow_Grenade_shell,6,0,0.1,0
1Rnd_SmokePurple_Grenade_shell,2,0,0.1,0
3Rnd_SmokePurple_Grenade_shell,6,0,0.1,0
1Rnd_SmokeBlue_Grenade_shell,2,0,0.1,0
3Rnd_SmokeBlue_Grenade_shell,6,0,0.1,0
1Rnd_SmokeOrange_Grenade_shell,2,0,0.1,0
3Rnd_SmokeOrange_Grenade_shell,6,0,0.1,0
SmokeShell,2,0,0.1,0
SmokeShellRed,2,0,0.1,0
SmokeShellGreen,2,0,0.1,0
SmokeShellYellow,2,0,0.1,0
SmokeShellPurple,2,0,0.1,0
SmokeShellBlue,2,0,0.1,0
SmokeShellOrange,2,0,0.1,0
Chemlight_green,8,0,0.1,0
Chemlight_red,8,0,0.1,0
Chemlight_yellow,8,0,0.1,0
Chemlight_blue,8,0,0.1,0
UGL_FlareWhite_F,2,0,0.1,0
3Rnd_UGL_FlareWhite_F,7,0,0.1,0
UGL_FlareGreen_F,2,0,0.1,0
3Rnd_UGL_FlareGreen_F,7,0,0.1,0
UGL_FlareRed_F,2,0,0.1,0
3Rnd_UGL_FlareRed_F,7,0,0.1,0
UGL_FlareYellow_F,2,0,0.1,0
3Rnd_UGL_FlareYellow_F,7,0,0.1,0
UGL_FlareCIR_F,2,0,0.1,0
3Rnd_UGL_FlareCIR_F,7,0,0.1,0
FlareWhite_F,2,0,0.1,0
FlareGreen_F,2,0,0.1,0
FlareRed_F,2,0,0.1,0
FlareYellow_F,2,0,0.1,0
Laserbatteries,8,0,0.1,0
30Rnd_45ACP_Mag_SMG_01,18,0,0.1,0
30Rnd_45ACP_Mag_SMG_01_Tracer_Green,18,0,0.1,0
30Rnd_45ACP_Mag_SMG_01_Tracer_Red,18,0,0.1,0
30Rnd_45ACP_Mag_SMG_01_Tracer_Yellow,18,0,0.1,0
9Rnd_45ACP_Mag,8,0,0.1,0
150Rnd_762x51_Box,55,0,0.1,0
150Rnd_762x51_Box_Tracer,55,0,0.1,0
150Rnd_762x54_Box,55,0,0.1,0
150Rnd_762x54_Box_Tracer,55,0,0.1,0
Titan_AA,400,0,0.1,0
Titan_AP,240,0,0.1,0
Titan_AT,400,0,0.1,0
11Rnd_45ACP_Mag,28,0,0.1,0
6Rnd_45ACP_Cylinder,16,0,0.1,0
10Rnd_762x51_Mag,10,0,0.1,0
10Rnd_762x54_Mag,10,0,0.1,0
5Rnd_127x108_APDS_Mag,64,0,0.1,0
B_IR_Grenade,10,0,0.1,0
O_IR_Grenade,10,0,0.1,0
I_IR_Grenade,10,0,0.1,0
6Rnd_GreenSignal_F,7,0,0.1,0
6Rnd_RedSignal_F,7,0,0.1,0
10Rnd_338_Mag,56,0,0.1,0
130Rnd_338_Mag,240,0,0.1,0
10Rnd_127x54_Mag,48,0,0.1,0
150Rnd_93x64_Mag,36,0,0.1,0
10Rnd_93x64_DMR_05_Mag,64,0,0.1,0
50Rnd_570x28_SMG_03,48,0,0.1,0
10Rnd_9x21_Mag,16,0,0.1,0
30Rnd_580x42_Mag_F,10,0,0.1,0
30Rnd_580x42_Mag_Tracer_F,10,0,0.1,0
100Rnd_580x42_Mag_F,80,0,0.1,0
100Rnd_580x42_Mag_Tracer_F,80,0,0.1,0
20Rnd_650x39_Cased_Mag_F,28,0,0.1,0
10Rnd_50BW_Mag_F,12,0,0.1,0
150Rnd_556x45_Drum_Mag_F,120,0,0.1,0
150Rnd_556x45_Drum_Mag_Tracer_F,120,0,0.1,0
30Rnd_762x39_Mag_F,18,0,0.1,0
30Rnd_762x39_Mag_Green_F,18,0,0.1,0
30Rnd_762x39_Mag_Tracer_F,18,0,0.1,0
30Rnd_762x39_Mag_Tracer_Green_F,18,0,0.1,0
30Rnd_545x39_Mag_F,10,0,0.1,0
30Rnd_545x39_Mag_Green_F,10,0,0.1,0
30Rnd_545x39_Mag_Tracer_F,10,0,0.1,0
30Rnd_545x39_Mag_Tracer_Green_F,10,0,0.1,0
