name,baseprice,wood,steel,plastic
ACE_tourniquet,15,0,0,0.1
ACE_personalAidKit,25,0,0,2
ACE_surgicalKit,50,0,0,3
ACE_RangeTable_82mm,1,0,0.1,0
ACE_SpottingScope,100,0,8,0
ACE_rope12,12,0,8,0
ACE_rope15,15,0,9,0
ACE_rope18,18,0,11,0
ACE_rope27,27,0,17,0
ACE_rope36,36,0,22,0
ACE_Flashlight_MX991,25,0,0,1
ACE_Flashlight_KSF1,15,0,0,1
ACE_Flashlight_XL50,30,0,0,1
ACE_ATragMX,400,0,0,1
ACE_RangeCard,1,0,0.1,0
Rangefinder,100,0,0.1,0
Binocular,50,0,0.1,0
I_UavTerminal,50,0,0.1,0
ACE_VectorDay,75,0,0,1
ACE_Vector,110,0,0,1
ACE_Yardage450,90,0,0,1
ACE_HuntIR_monitor,200,0,0,1
