name,baseprice,wood,steel,plastic
optic_Arco,200,0,2,0
optic_Hamr,100,0,2,0
optic_Aco,100,0,1,0
optic_ACO_grn,100,0,1,0
optic_Aco_smg,100,0,1,0
optic_ACO_grn_smg,100,0,1,0
optic_Holosight,200,0,2,0
optic_Holosight_smg,200,0,2,0
optic_SOS,150,0,3,0
optic_MRCO,200,0,2,0
optic_NVS,500,0,2,0
optic_Nightstalker,600,0,3,0
optic_tws,1500,0,3,0
optic_tws_mg,1500,0,4,0
optic_DMS,200,0,3,0
optic_Yorris,200,0,1,0
optic_MRD,200,0,1,0
optic_LRPS,1000,0,4,0
optic_AMS,500,0,2,0
optic_AMS_khk,500,0,2,0
optic_AMS_snd,500,0,2,0
optic_KHS_blk,500,0,2,0
optic_KHS_hex,500,0,2,0
optic_KHS_old,50,0,3,0
optic_KHS_tan,500,0,2,0
optic_Arco_blk_F,500,0,2,0
optic_Arco_ghex_F,500,0,2,0
optic_DMS_ghex_F,500,0,2,0
optic_Hamr_khk_F,500,0,2,0
optic_ERCO_blk_F,500,0,2,0
optic_ERCO_khk_F,500,0,2,0
optic_ERCO_snd_F,500,0,2,0
optic_SOS_khk_F,500,0,2,0
optic_LRPS_tna_F,1000,0,2,0
optic_LRPS_ghex_F,1000,0,2,0
optic_Holosight_blk_F,500,0,2,0
optic_Holosight_khk_F,500,0,2,0
optic_Holosight_smg_blk_F,500,0,2,0
optic_Holosight_smg_khk_F,500,0,2,0
ACE_optic_Hamr_2D,500,0,2,0
ACE_optic_Hamr_PIP,500,0,2,0
ACE_optic_Arco_2D,500,0,2,0
ACE_optic_Arco_PIP,500,0,2,0
ACE_optic_MRCO_2D,500,0,2,0
ACE_optic_SOS_2D,500,0,2,0
ACE_optic_SOS_PIP,500,0,2,0
ACE_optic_LRPS_2D,1000,0,2,0
ACE_optic_LRPS_PIP,1000,0,2,0
