name,baseprice,wood,steel,plastic
B_APC_Tracked_01_rcws_F,650000,0,300,10
B_APC_Tracked_01_CRV_F,600000,0,300,10
B_APC_Tracked_01_AA_F,440000,0,300,5
O_APC_Tracked_02_cannon_F,680000,0,300,5
O_APC_Tracked_02_AA_F,440000,0,300,5
B_MBT_01_cannon_F,792000,0,500,5
B_MBT_01_arty_F,840000,0,500,5
B_MBT_01_mlrs_F,890000,0,500,5
O_MBT_02_cannon_F,748000,0,475,5
O_MBT_02_arty_F,840000,0,263,5
I_APC_tracked_03_cannon_F,582000,0,500,5
I_MBT_03_cannon_F,792000,0,450,5
B_MBT_01_TUSK_F,800000,0,500,5
B_T_APC_Tracked_01_AA_F,440000,0,300,5
B_T_APC_Tracked_01_CRV_F,600000,0,300,10
B_T_APC_Tracked_01_rcws_F,650000,0,300,10
O_T_APC_Tracked_02_cannon_ghex_F,440000,0,300,5
O_T_APC_Tracked_02_AA_ghex_F,440000,0,300,5
B_T_MBT_01_arty_F,840000,0,500,5
B_T_MBT_01_mlrs_F,890000,0,500,5
B_T_MBT_01_cannon_F,792000,0,500,5
B_T_MBT_01_TUSK_F,800000,0,500,5
O_T_MBT_02_cannon_ghex_F,748000,0,475,5
O_T_MBT_02_arty_ghex_F,374000,0,263,5
O_T_MBT_02_arty_F,840000,0,500,5
I_LT_01_AT_F,145000,0,125,5
I_LT_01_scout_F,80000,0,125,5
I_LT_01_AA_F,145000,0,125,5
I_LT_01_cannon_F,132000,0,125,5
O_MBT_04_cannon_F,616000,0,400,5
O_T_MBT_04_cannon_F,616000,0,400,5
O_MBT_04_command_F,632000,0,400,5
O_T_MBT_04_command_F,632000,0,400,5
I_T_APC_tracked_03_cannon_F,582000,0,500,5
