name,baseprice,wood,steel,plastic
C_Offroad_01_F,580,0,15,2
C_Offroad_01_repair_F,960,0,15,2
C_Quadbike_01_F,140,0,15,2
I_Quadbike_01_F,160,0,15,2
I_Truck_02_covered_F,2436,0,25,2
I_Truck_02_transport_F,2436,0,25,2
C_Truck_02_covered_F,1624,0,25,2
C_Truck_02_transport_F,1624,0,25,2
C_Hatchback_01_F,436,0,12,2
C_Hatchback_01_sport_F,800,0,12,2
C_SUV_01_F,1046,0,12,2
I_Truck_02_ammo_F,2436,0,35,2
I_Truck_02_box_F,2436,0,35,2
I_Truck_02_medical_F,2436,0,35,2
I_Truck_02_fuel_F,2436,0,35,2
I_Truck_02_MRL_F,58000,0,45,2
C_Truck_02_fuel_F,1624,0,35,2
C_Truck_02_box_F,1624,0,35,2
C_Van_01_transport_F,1440,0,30,2
C_Van_01_box_F,1440,0,30,2
C_Van_01_fuel_F,1440,0,30,2
C_Kart_01_F,174,0,4,2
C_Kart_01_Fuel_F,174,0,4,2
C_Kart_01_Blu_F,174,0,4,2
C_Kart_01_Red_F,174,0,4,2
C_Kart_01_Vrana_F,174,0,4,2
C_Offroad_02_unarmed_F,628,0,30,2
C_Van_02_transport_F,1774,0,55,2
C_Van_02_vehicle_F,1774,0,55,2
C_Van_02_medevac_F,1774,0,55,2
C_Van_02_service_F,1774,0,55,2
C_Heli_Light_01_civil_F,12360,0,90,6
C_Plane_Civil_01_F,22470,0,105,6
C_Plane_Civil_01_racing_F,22470,0,105,6
I_Plane_Fighter_04_F,500000,0,60,2
B_Heli_Transport_03_unarmed_F,85000,0,110,5
OT_I_Truck_recovery,7500,0,100,2
B_T_MRAP_01_F,25000,0,35,2
B_T_MRAP_01_hmg_F,40000,0,40,2
B_T_MRAP_01_gmg_F,50000,0,40,2
B_T_LSV_01_armed_F,20000,0,25,2
O_G_Offroad_01_armed_F,2600,0,17,2
O_G_Offroad_01_AT_F,4000,0,17,2
O_G_Boat_Transport_01_F,250,0,1,2
O_G_Offroad_01_repair_F,340,0,15,2
O_G_Offroad_01_F,280,0,15,2
O_G_Quadbike_01_F,140,0,15,2
O_G_Van_01_transport_F,1440,0,30,2
O_G_Van_01_fuel_F,1440,0,30,2
O_G_Van_02_transport_F,1440,0,30,2
O_G_Van_02_vehicle_F,1774,0,55,2
I_Boat_Armed_01_minigun_F,60000,0,50,2
I_Boat_Transport_01_F,250,0,1,2
O_Boat_Transport_01_F,250,0,1,2
O_Lifeboat,250,0,1,2
I_Quadbike_01_F,140,0,15,2
O_Quadbike_01_F,140,0,15,2
I_MRAP_01_F,25000,0,35,2
I_MRAP_03_hmg_F,40000,0,40,2
I_MRAP_03_gmg_F,50000,0,40,2
B_MRAP_01_F,25000,0,35,2
B_MRAP_03_hmg_F,40000,0,40,2
B_MRAP_03_gmg_F,50000,0,40,2
O_MRAP_02_F,25000,0,35,2
O_MRAP_02_hmg_F,40000,0,40,2
O_MRAP_02_gmg_F,50000,0,40,2
I_UGV_01_F,15000,0,20,1
O_UGV_01_F,15000,0,20,1
O_T_UGV_01_ghex_F,15000,0,20,1
B_UGV_01_F,15000,0,20,1
B_T_UGV_01_olive_F,15000,0,20,1
