name,baseprice,wood,steel,plastic
V_BandollierB_khk,40,0,2,0
V_BandollierB_cbr,40,0,2,0
V_BandollierB_rgr,40,0,2,0
V_BandollierB_blk,40,0,2,0
V_BandollierB_oli,40,0,2,0
V_PlateCarrier1_rgr,360,0,2,0
V_PlateCarrier2_rgr,440,0,2,0
V_PlateCarrier2_blk,440,0,2,0
V_PlateCarrierGL_rgr,1600,0,2,0
V_PlateCarrierGL_blk,1600,0,2,0
V_PlateCarrierGL_mtp,1600,0,2,0
V_PlateCarrier1_blk,360,0,2,0
V_PlateCarrierSpec_rgr,520,0,2,0
V_PlateCarrierSpec_blk,520,0,2,0
V_PlateCarrierSpec_mtp,520,0,2,0
V_Chestrig_khk,40,0,2,0
V_Chestrig_rgr,40,0,2,0
V_Chestrig_blk,40,0,2,0
V_Chestrig_oli,40,0,2,0
V_TacVest_khk,200,0,2,0
V_TacVest_brn,200,0,2,0
V_TacVest_oli,200,0,2,0
V_TacVest_blk,200,0,2,0
V_TacVest_camo,200,0,2,0
V_TacVestIR_blk,200,0,2,0
V_HarnessO_brn,40,0,2,0
V_HarnessOGL_brn,40,0,2,0
V_HarnessO_gry,40,0,2,0
V_HarnessOGL_gry,40,0,2,0
V_PlateCarrierIA1_dgtl,360,0,2,0
V_PlateCarrierIA2_dgtl,360,0,2,0
V_PlateCarrierIAGL_dgtl,1600,0,2,0
V_PlateCarrierIAGL_oli,1600,0,2,0
V_PlateCarrier_Kerry,360,0,2,0
V_PlateCarrierL_CTRG,360,0,2,0
V_PlateCarrierH_CTRG,440,0,2,0
V_I_G_resistanceLeader_F,200,0,2,0
V_TacChestrig_grn_F,40,0,2,0
V_TacChestrig_oli_F,40,0,2,0
V_TacChestrig_cbr_F,40,0,2,0
V_PlateCarrier1_tna_F,360,0,2,0
V_PlateCarrier2_tna_F,440,0,2,0
V_PlateCarrierSpec_tna_F,520,0,2,0
V_PlateCarrierGL_tna_F,1600,0,2,0
V_HarnessO_ghex_F,40,0,2,0
V_HarnessOGL_ghex_F,40,0,2,0
V_BandollierB_ghex_F,40,0,2,0
V_TacVest_gen_F,280,0,2,0
V_PlateCarrier1_rgr_noflag_F,360,0,2,0
V_PlateCarrier2_rgr_noflag_F,440,0,2,0
V_DeckCrew_yellow_F,280,0,2,0
V_DeckCrew_blue_F,280,0,2,0
V_DeckCrew_green_F,280,0,2,0
V_DeckCrew_red_F,280,0,2,0
V_DeckCrew_white_F,280,0,2,0
V_DeckCrew_brown_F,280,0,2,0
V_DeckCrew_violet_F,280,0,2,0
V_Plain_medical_F,40,0,2,0
V_Plain_crystal_F,40,0,2,0
V_Pocketed_olive_F,40,0,2,0
V_Pocketed_coyote_F,40,0,2,0
V_Pocketed_black_F,40,0,2,0
V_Safety_yellow_F,40,0,2,0
V_Safety_orange_F,40,0,2,0
V_Safety_blue_F,40,0,2,0
V_LegStrapBag_black_F,40,0,2,0
V_LegStrapBag_coyote_F,40,0,2,0
V_LegStrapBag_olive_F,40,0,2,0
V_EOD_blue_F,1600,0,2,0
V_EOD_olive_F,1600,0,2,0
V_EOD_coyote_F,1600,0,2,0
V_EOD_IDAP_blue_F,1600,0,2,0
