name,baseprice,wood,steel,plastic
SMG_01_F,250,0,0.5,0
SMG_02_F,250,0,0.5,0
SMG_05_F,250,0,0.5,0
srifle_EBR_F,1500,0,2,0
srifle_GM6_F,5000,0,2,0
srifle_GM6_camo_F,5000,0,2,0
srifle_LRR_F,4000,0,2,0
srifle_LRR_camo_F,4000,0,2,0
arifle_Katiba_F,1000,0,2,0
arifle_Katiba_C_F,1000,0,2,0
arifle_Katiba_GL_F,1200,0,2,0
arifle_Mk20_F,500,0,2,0
arifle_Mk20_plain_F,500,0,2,0
arifle_Mk20C_F,500,0,2,0
arifle_Mk20C_plain_F,500,0,2,0
arifle_Mk20_GL_F,600,0,2,0
arifle_Mk20_GL_plain_F,600,0,2,0
arifle_MXC_F,1000,0,2,0
arifle_MX_F,1000,0,2,0
arifle_MX_GL_F,1000,0,2,0
arifle_MXM_F,1000,0,2,0
arifle_MXC_Black_F,1000,0,2,0
arifle_MX_Black_F,1000,0,2,0
arifle_MX_GL_Black_F,1000,0,2,0
arifle_MXM_Black_F,1000,0,2,0
arifle_SDAR_F,500,0,2,0
arifle_TRG21_GL_F,1000,0,2,0
arifle_TRG20_F,800,0,2,0
arifle_TRG21_F,900,0,2,0
hgun_PDW2000_F,400,0,2,0
SMG_03_TR_black,500,0,2,0
SMG_03_TR_camo,500,0,2,0
SMG_03_TR_khaki,500,0,2,0
SMG_03_TR_hex,500,0,2,0
SMG_03C_TR_black,500,0,2,0
SMG_03C_TR_camo,500,0,2,0
SMG_03C_TR_khaki,500,0,2,0
SMG_03C_TR_hex,500,0,2,0
SMG_03_black,500,0,2,0
SMG_03_camo,500,0,2,0
SMG_03_khaki,500,0,2,0
SMG_03_hex,500,0,2,0
SMG_03C_black,500,0,2,0
SMG_03C_camo,500,0,2,0
SMG_03C_khaki,500,0,2,0
SMG_03C_hex,500,0,2,0
arifle_MX_khk_F,1000,0,2,0
arifle_MX_GL_khk_F,1000,0,2,0
arifle_MXC_khk_F,1000,0,2,0
arifle_MXM_khk_F,1000,0,2,0
srifle_LRR_tna_F,4000,0,2,0
srifle_GM6_ghex_F,3000,0,2,0
arifle_AK12_F,1500,0,2,0
arifle_AK12_GL_F,1800,0,2,0
arifle_AKM_F,1200,0,2,0
arifle_AKS_F,500,0,2,0
arifle_ARX_blk_F,1000,0,2,0
arifle_ARX_ghex_F,1000,0,2,0
arifle_ARX_hex_F,1000,0,2,0
arifle_CTAR_blk_F,500,0,2,0
arifle_CTAR_hex_F,500,0,2,0
arifle_CTAR_ghex_F,500,0,2,0
arifle_CTAR_GL_blk_F,600,0,2,0
arifle_CTAR_GL_hex_F,600,0,2,0
arifle_CTAR_GL_ghex_F,600,0,2,0
arifle_CTARS_blk_F,1250,0,2,0
arifle_CTARS_hex_F,1250,0,2,0
arifle_CTARS_ghex_F,1250,0,2,0
arifle_SPAR_01_blk_F,500,0,2,0
arifle_SPAR_01_khk_F,500,0,2,0
arifle_SPAR_01_snd_F,500,0,2,0
arifle_SPAR_01_GL_blk_F,600,0,2,0
arifle_SPAR_01_GL_khk_F,600,0,2,0
